"table_schema","table_name","column_name","data_type","character_maximum_length","is_nullable","column_default"
buysell_application_management,application,id,bigint,,NO,nextval('buysell_application_management.application_id_seq'::regclass)
buysell_application_management,application,aps_id,bigint,,NO,
buysell_application_management,application,buyer_id,bigint,,NO,
buysell_application_management,application,seller_id,bigint,,NO,
buysell_application_management,application,currency,character varying,5,NO,
buysell_application_management,application,buyer_bank_id,bigint,,YES,
buysell_application_management,application,seller_bank_id,bigint,,YES,
buysell_application_management,application,charge_batch_id,character varying,255,YES,
buysell_application_management,application,buy_sell_mode,character varying,50,YES,
buysell_application_management,application,payment_due_date,timestamp without time zone,,YES,
buysell_application_management,application,single_party_mode,boolean,,YES,
buysell_application_management,application,status,character varying,50,YES,
buysell_application_management,application,active_workflow,character varying,255,YES,
buysell_application_management,application,active_user,character varying,255,YES,
buysell_application_management,application,created_by,character varying,255,NO,
buysell_application_management,application,latest_approval_by,character varying,255,YES,
buysell_application_management,application,created_at,timestamp with time zone,,YES,CURRENT_TIMESTAMP
buysell_application_management,application,updated_at,timestamp with time zone,,YES,
buysell_application_management,application,deleted_at,timestamp with time zone,,YES,
buysell_application_management,application_amount,id,bigint,,NO,nextval('buysell_application_management.application_amount_id_seq'::regclass)
buysell_application_management,application_amount,application_id,bigint,,NO,
buysell_application_management,application_amount,purchase_invoiced_amount,numeric,,YES,
buysell_application_management,application_amount,sale_invoiced_amount,numeric,,YES,
buysell_application_management,application_amount,markup,numeric,,YES,
buysell_application_management,application_amount,custom_markup_applicable,boolean,,YES,
buysell_application_management,application_amount,margin,numeric,,YES,
buysell_application_management,application_amount,max_advance_rate,numeric,,YES,
buysell_application_management,application_amount,tentative_handling_charge,numeric,,YES,
buysell_application_management,application_amount,actual_handling_charge,numeric,,YES,
buysell_application_management,application_amount,tenure_days,bigint,,YES,
buysell_application_management,application_amount,amount_paid_to_seller,numeric,,YES,
buysell_application_management,application_amount,amount_due_from_buyer,numeric,,YES,
buysell_application_management,application_amount,amount_received_from_buyer,numeric,,YES,
buysell_application_management,application_amount,created_at,timestamp with time zone,,YES,CURRENT_TIMESTAMP
buysell_application_management,application_amount,updated_at,timestamp with time zone,,YES,
buysell_application_management,application_amount,deleted_at,timestamp with time zone,,YES,
buysell_application_management,application_amount,additional_charges,numeric,,YES,
buysell_application_management,application_amount,short_amount,numeric,,YES,
buysell_application_management,application_invoices,id,bigint,,NO,nextval('buysell_application_management.application_invoices_id_seq'::regclass)
buysell_application_management,application_invoices,application_id,bigint,,NO,
buysell_application_management,application_invoices,invoice_type,USER-DEFINED,,NO,
buysell_application_management,application_invoices,invoice_number,character varying,100,NO,
buysell_application_management,application_invoices,invoice_date,date,,NO,
buysell_application_management,application_invoices,invoice_due_date,date,,YES,
buysell_application_management,application_invoices,tax_rate,numeric,,YES,
buysell_application_management,application_invoices,tax_amount,numeric,,YES,
buysell_application_management,application_invoices,amount,numeric,,NO,
buysell_application_management,application_invoices,doc_id,bigint,,YES,
buysell_application_management,application_invoices,created_at,timestamp with time zone,,YES,CURRENT_TIMESTAMP
buysell_application_management,application_invoices,updated_at,timestamp with time zone,,YES,
buysell_application_management,application_invoices,deleted_at,timestamp with time zone,,YES,
buysell_application_management,transaction_details,id,bigint,,NO,nextval('buysell_application_management.transaction_details_id_seq'::regclass)
buysell_application_management,transaction_details,application_id,bigint,,NO,
buysell_application_management,transaction_details,transaction_type,USER-DEFINED,,YES,
buysell_application_management,transaction_details,transaction_ref_number,character varying,100,YES,
buysell_application_management,transaction_details,transaction_amount,numeric,,YES,
buysell_application_management,transaction_details,transaction_date,timestamp without time zone,,YES,
buysell_application_management,transaction_details,spot_rate,numeric,,YES,
buysell_application_management,transaction_details,spot_amount,numeric,,YES,
buysell_application_management,transaction_details,status,character varying,50,YES,
buysell_application_management,transaction_details,active_workflow,character varying,255,YES,
